,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh,QuadratureCoil_b1corr,BirdcageEnh_b1corr
0,0.03456976,0.019112948,0.033093,0.006110796,0.0634885,0.054688398,0.01603906,0.012207632
1,0.008931029,0.025174186,0.02761993,0.012577613,0.052384615,0.038968526,0.027319144,0.0128773255
2,0.022067603,0.026986016,0.022604119,0.01483776,0.029375102,0.046193957,0.0072744167,0.011051098
3,0.040822096,0.028868556,0.02339793,0.0117554795,0.021859085,0.06094041,0.0005411895,0.012398137
4,0.04648576,0.019377898,0.02105918,0.006105081,0.017492983,0.077023886,0.00096328335,0.028692907
5,0.037192132,0.0071480013,0.013001469,0.0065681254,0.01258214,0.09338121,0.0030459773,0.06065811
6,0.020148596,0.023008754,0.0024561337,0.011796364,0.033945158,0.07901899,0.0019982352,0.052643366
7,0.04046045,0.023580316,0.012996437,0.016676502,0.056890413,0.03865306,0.0029784625,0.040129993
8,0.062571295,0.012144626,0.014230302,0.014870029,0.05316261,0.06498143,0.0067094625,0.03631458
9,0.057725683,0.020302895,0.0059021893,0.0076444815,0.032911245,0.051339924,0.0021744568,0.027562838
10,0.037190344,0.025613045,0.027489072,0.006211739,0.032013178,0.023910983,0.0054318416,0.012804719
11,0.043661963,0.022574686,0.041845642,0.0027721624,0.07289463,0.09232848,0.004234295,0.020153783
12,0.0503732,0.017494252,0.03443294,0.01194357,0.10073795,0.10090145,0.0027822366,0.0066400915
13,0.030289866,0.014935321,0.020495398,0.01718258,0.08677318,0.061570916,0.0029288707,0.0025289543
14,0.00715554,0.018507797,0.035971045,0.011397204,0.0649869,0.016964922,0.0057753357,0.0014245884
15,0.025479065,0.03564291,0.042252526,0.0039937426,0.06235662,0.021236073,0.013464708,0.006291705
16,0.02751449,0.048688658,0.028181808,0.0020778312,0.03780838,0.033258837,0.019199032,0.0051530465
17,0.017352039,0.041654784,0.0144969085,0.005886076,0.027601564,0.029008148,0.020241616,0.03359778
18,0.0056600324,0.028559554,0.016120521,0.013822242,0.025422769,0.04196361,0.034947187,0.07299262
19,0.015961466,0.03353684,0.0148608135,0.0150084365,0.036181305,0.071157224,0.015533137,0.08623622
20,0.018930873,0.04394398,0.004283107,0.01160393,0.058855854,0.076418124,0.0067154993,0.01970857
21,0.0033741223,0.047773875,0.018391605,0.01030562,0.053891785,0.051565036,0.003498174,0.017943002
22,0.042262934,0.047886226,0.034935936,0.012751331,0.030382305,0.022100737,0.016447216,0.00830352
