,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
67,0.057755634,0.12549277,0.07367997,0.022526022,0.11922309,0.07207603
68,0.105476275,0.07595941,0.038894486,0.025455745,0.11182106,0.27238896
69,0.10433898,0.06755509,0.0018008198,0.0251301,0.22694793,0.11910475
70,0.0906105,0.034289915,0.0513118,0.02256043,0.23971812,0.03405733
71,0.14411023,0.11512865,0.059778236,0.0023719252,0.23793612,0.1120859
72,0.14649685,0.06421604,0.025198786,0.02907733,0.069053285,0.114621855
73,0.080538094,0.06616014,0.056604344,0.022971144,0.21495146,0.045349915
74,0.042839475,0.08972087,0.02299316,0.025435602,0.3556755,0.22770575
75,0.07760373,0.022823285,0.010446542,0.02000769,0.12878142,0.15343584
76,0.044129875,0.08689481,0.05820249,0.025127962,0.04547007,0.050595667
77,0.0942869,0.16715792,0.053464793,0.020413354,0.12595986,0.12259989
78,0.104788184,0.046714745,0.040994585,0.03817122,0.16905606,0.1583899
79,0.0586176,0.026365915,0.047701947,0.017782014,0.17498532,0.19340692
