,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
33,0.03203121,0.13164602,0.062049247,0.031303607,0.65383095,0.25824413
34,0.048591353,0.049206518,0.03699471,0.029828226,0.67158246,0.295284
35,0.1380409,0.07048484,0.08187864,0.038648922,0.68934613,0.44184682
36,0.10753127,0.07007394,0.097308025,0.045342926,0.60611594,0.3762788
37,0.041834336,0.046531636,0.043382023,0.009236878,0.546985,0.26141706
38,0.051777493,0.04801309,0.009795996,0.017925335,0.65203285,0.31204918
39,0.076236956,0.10690889,0.024817,0.008470314,0.61344844,0.4616828
40,0.06447794,0.08511335,0.08309163,0.013193165,0.6255699,0.3991609
41,0.09953421,0.15450376,0.078044266,0.05598802,0.64899755,0.29497957
42,0.12152787,0.14983717,0.11486414,0.056295153,0.63557214,0.28990948
43,0.18719262,0.17717452,0.22300598,0.1180452,0.59926975,0.4838781
44,0.2774118,0.19150926,0.20285226,0.18347722,0.5347653,0.61707604
45,0.25226605,0.072507866,0.16570811,0.15196992,0.5442404,0.46337208
46,0.23120202,0.13898402,0.19492647,0.12711047,0.6336187,0.3225483
47,0.25028026,0.23506607,0.26127467,0.14115968,0.738033,0.37352288
48,0.23083223,0.20964272,0.27527466,0.22847325,0.684084,0.41542915
49,0.2722308,0.32793763,0.3148878,0.2868111,0.59430623,0.29596254
50,0.421444,0.4284474,0.35063562,0.33387035,0.61418253,0.29375634
51,0.5314846,0.49411288,0.42359662,0.35986906,0.7445734,0.43759355
52,0.49487376,0.45909563,0.526354,0.4093546,0.76105195,0.5539605
53,0.53620785,0.41686538,0.58589065,0.50848264,0.83828694,0.6572254
54,0.6115222,0.500561,0.62648463,0.5986429,0.7563303,0.73709625
55,0.7315574,0.61268616,0.73477066,0.7216861,0.84873164,0.6389414
56,0.7965753,0.6966131,0.86657786,0.8512203,0.7276417,0.61780983
57,0.8705647,0.744291,0.89850664,0.9707047,0.7614754,0.5978849
58,0.9698481,0.80988663,0.8017319,0.9899615,0.86898565,0.43155932
59,0.8628811,0.60746706,0.45255247,0.7895246,0.6360854,0.11899479
60,0.49336255,0.34418812,0.11764486,0.32497895,0.68400824,0.14349279
