,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh,QuadratureCoil_b1corr,BirdcageEnh_b1corr
38,0.047498316,0.009759086,0.015351612,0.012269808,0.52969176,0.52518165,0.027159072,0.21288794
39,0.040267173,0.012857046,0.014165797,0.017949695,0.5581402,0.53521806,0.054689646,0.25019634
40,0.020867366,0.010094967,0.021305522,0.01598366,0.60346425,0.53186953,0.033534594,0.33681697
41,0.0024346618,0.008771816,0.024987599,0.020146092,0.6554873,0.5281272,0.061381698,0.43292966
42,0.015212887,0.010632097,0.022120325,0.025087977,0.68936276,0.5139386,0.07643877,0.45474902
43,0.03596162,0.019604579,0.022095127,0.01793147,0.7052838,0.48532724,0.013850363,0.3915055
44,0.055673942,0.022591272,0.026029525,0.007345421,0.72495985,0.46060923,0.0060836705,0.33964288
45,0.061269842,0.015418474,0.031775475,0.004777613,0.7568019,0.45714605,0.00550981,0.35145208
46,0.060025133,0.013436505,0.04118144,0.01431575,0.7732767,0.47649816,0.04361764,0.42255932
47,0.06518561,0.019697232,0.054039046,0.027355371,0.74643415,0.49793243,0.040599395,0.5001574
48,0.06801761,0.03566303,0.06208171,0.03282386,0.69281787,0.49294132,0.03036911,0.49725622
49,0.061162252,0.056835227,0.059293102,0.02884318,0.6653605,0.46834522,0.027788775,0.43133295
50,0.0536831,0.06614249,0.05578177,0.022511426,0.69439715,0.45769468,0.032270048,0.35971823
51,0.061678004,0.05809709,0.06306848,0.019664511,0.7590201,0.48026496,0.0599144,0.30747232
52,0.07310048,0.0461967,0.07261138,0.019200444,0.8172529,0.52186126,0.058500472,0.28530642
53,0.07616965,0.05138869,0.074197985,0.020189451,0.8476184,0.5506447,0.0615138,0.29047617
54,0.080239005,0.06691266,0.068760216,0.024052432,0.8538081,0.54995435,0.034820195,0.3005691
55,0.09339106,0.07993403,0.06609013,0.034147006,0.82957435,0.5342384,0.040150035,0.28619
56,0.10976307,0.07918165,0.07074266,0.046723977,0.7779107,0.5268576,0.061766323,0.26585197
57,0.11533416,0.078926794,0.0866143,0.05575503,0.73076165,0.53072095,0.09732921,0.2849318
58,0.109182194,0.09733764,0.11392571,0.06371624,0.71349734,0.52914584,0.14160672,0.35630262
59,0.11344052,0.110998854,0.13787007,0.07476858,0.72211045,0.5183838,0.16343011,0.4449176
60,0.14336145,0.11546673,0.15381402,0.09300654,0.72977144,0.52141726,0.16945533,0.43560207
61,0.17987874,0.11517159,0.17081597,0.117747374,0.72232157,0.5562934,0.18143375,0.37138548
62,0.19618092,0.119400896,0.19716765,0.14415316,0.7126374,0.6126536,0.2076351,0.36400127
