,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
25,0.6058844,0.35385045,0.08155539,0.424644,0.5481406,0.23849456
26,0.7399151,0.4938965,0.060391497,0.5326358,0.7594878,0.36290368
27,0.8896388,0.6367112,0.08006187,0.56363356,0.6751739,0.6226887
28,0.8005004,0.73956853,0.290672,0.5843315,0.6639441,0.7379745
29,0.73657924,0.827945,0.5615556,0.6177516,0.6435076,0.47806817
30,0.83936936,0.86141604,0.7732281,0.62304866,0.60412145,0.3405435
31,0.77448106,0.82389116,0.83912235,0.65814453,0.6874941,0.5171881
32,0.756768,0.75836086,0.802571,0.7057245,0.5238701,0.5879874
33,0.8633547,0.7180401,0.79312676,0.70316744,0.48951143,0.67475134
34,0.74861246,0.66827255,0.7868681,0.70874727,0.63221866,0.79505974
35,0.5766535,0.6058723,0.74449843,0.74319863,0.6498217,0.6942665
36,0.65371084,0.67565024,0.7438841,0.75804424,0.6496681,0.5783073
37,0.7055744,0.7361368,0.7617267,0.74138194,0.55300975,0.81823456
38,0.6565665,0.77617675,0.7283696,0.6893077,0.5201241,0.73661023
39,0.65278924,0.77102435,0.72516704,0.66827214,0.4866177,0.59050685
40,0.6267956,0.74626786,0.7297703,0.7119179,0.5822803,0.59653133
41,0.62928027,0.74149877,0.70797694,0.7114377,0.6590931,0.56793356
42,0.71229076,0.683608,0.72379243,0.73241544,0.5915381,0.62023383
43,0.79671085,0.74580526,0.6849639,0.7352373,0.68080896,0.6000742
44,0.75587916,0.7653317,0.64157426,0.6785678,0.81595653,0.61839616
45,0.6528336,0.7383024,0.66785985,0.66621596,0.7595649,0.63828343
46,0.71663845,0.80048835,0.71542746,0.65629524,0.5382994,0.6857916
47,0.73762494,0.9389403,0.77093637,0.6662685,0.47264916,0.7800318
48,0.6919169,0.6904427,0.75118345,0.6253328,0.6514149,0.6621256
49,0.7275686,0.5303984,0.68618864,0.5747335,0.6694998,0.6124883
50,0.7347494,0.5831532,0.7109237,0.56099194,0.73140305,0.67524165
51,0.59916705,0.4381697,0.79979175,0.4452353,0.67945945,0.8861047
52,0.28397506,0.30555087,0.80772525,0.25435606,0.33757478,0.72160846
53,0.08578297,0.19023895,0.78305364,0.11623627,0.3426607,0.29077548
54,0.092638694,0.1403411,0.87525344,0.03318124,0.4169909,0.3090227
55,0.061542235,0.18040457,0.95418906,0.028212693,0.3250322,0.21320735
56,0.048258044,0.119109444,0.9256353,0.03184379,0.31941342,0.3596181
57,0.08014647,0.12832272,0.75705785,0.047962304,0.15422158,0.42431426
58,0.12777989,0.009152259,0.4998134,0.01826241,0.1278123,0.20697182
59,0.07225135,0.14931011,0.2440887,0.044982865,0.1193969,0.032274265
60,0.013304605,0.025335683,0.08987528,0.024817886,0.27342403,0.0706646
61,0.06702988,0.044293873,0.055136975,0.009421055,0.27866077,0.26128477
62,0.062322192,0.08145258,0.048915055,0.03591677,0.30084595,0.19861552
63,0.043951925,0.029373998,0.056642834,0.025330022,0.24876164,0.06783811
64,0.1579124,0.060047034,0.0565204,0.019102305,0.082736,0.13291368
65,0.15339153,0.12778026,0.09345018,0.01572947,0.117487475,0.1025707
66,0.108274266,0.050444942,0.08348918,0.012473615,0.17166503,0.12876186
67,0.06193802,0.11016607,0.025655532,0.022309802,0.031146133,0.22549853
68,0.028519109,0.076990746,0.07477559,0.03304289,0.059940003,0.23540242
69,0.030272828,0.0182931,0.06056962,0.019140573,0.09846628,0.08801277
70,0.1465468,0.09173189,0.067095734,0.029134443,0.068863295,0.09837901
71,0.17576489,0.11139906,0.10322677,0.016490191,0.10739264,0.08513543
72,0.17375559,0.12770134,0.06425369,0.035694536,0.1193574,0.13255449
73,0.20686898,0.043848082,0.071570575,0.01600986,0.19320703,0.21171476
74,0.04579903,0.021389129,0.09118594,0.027465302,0.14010093,0.18900691
75,0.12923849,0.07436724,0.022008233,0.018369503,0.07107456,0.05331446
76,0.050288428,0.06435403,0.0510023,0.021346705,0.083057694,0.14596519
77,0.09710664,0.08144957,0.026182942,0.0038362115,0.16300257,0.12003745
78,0.09120371,0.03017634,0.04320335,0.046634566,0.093449965,0.0629646
79,0.23303543,0.049254417,0.0555713,0.02525163,0.14902061,0.056704435
